timestamps,TP9,AF7,AF8,TP10,Right AUX
1741724766.314,-219.727,-219.238,843.750,-104.980,0.000
1741724766.318,999.512,999.512,543.457,999.512,0.000
1741724766.322,953.613,954.102,505.859,939.941,0.000
1741724766.326,942.383,942.871,758.301,951.172,0.000
1741724766.330,976.562,977.051,961.426,975.098,0.000
1741724766.334,970.215,970.215,973.145,970.703,0.000
1741724766.338,970.215,970.703,962.891,970.703,0.000
1741724766.342,969.727,970.215,972.656,970.703,0.000
1741724766.345,969.727,970.703,970.703,970.703,0.000
1741724766.349,969.727,970.703,969.238,970.703,0.000
1741724766.353,969.727,970.215,972.168,970.215,0.000
1741724766.357,970.215,970.703,967.285,970.703,0.000
1741724766.361,970.215,970.703,956.543,969.238,0.000
1741724766.365,906.738,908.203,968.262,910.156,0.000
1741724766.369,999.512,999.512,957.031,999.512,0.000
1741724766.373,188.965,180.664,949.219,160.156,0.000
1741724766.377,-1000.000,-1000.000,962.402,-1000.000,0.000
1741724766.381,-983.887,-982.910,965.332,-979.980,0.000
1741724766.385,-973.145,-973.633,968.750,-975.098,0.000
1741724766.388,-1000.000,-1000.000,667.969,-1000.000,0.000
1741724766.392,-1000.000,-1000.000,340.820,-1000.000,0.000
1741724766.396,-1000.000,-1000.000,512.207,-1000.000,0.000
1741724766.400,-1000.000,-1000.000,718.750,-1000.000,0.000
1741724766.404,0.000,-1000.000,420.410,-1000.000,0.000
1741724766.408,0.000,-1000.000,263.184,-1000.000,0.000
1741724766.412,0.000,-1000.000,532.227,-1000.000,0.000
1741724766.416,0.000,-1000.000,679.688,-1000.000,0.000
1741724766.420,0.000,-1000.000,584.473,-1000.000,0.000
1741724766.424,0.000,-1000.000,634.766,-1000.000,0.000
1741724766.428,0.000,-1000.000,809.082,-1000.000,0.000
1741724766.431,0.000,-1000.000,787.598,-1000.000,0.000
1741724766.435,0.000,-1000.000,681.152,-1000.000,0.000
1741724766.439,0.000,-1000.000,354.492,-1000.000,0.000
1741724766.443,0.000,-1000.000,331.055,-1000.000,0.000
1741724766.447,0.000,-926.758,602.539,-1000.000,0.000
1741724766.451,-954.590,-1000.000,476.074,-954.590,0.000
1741724766.455,-1000.000,-452.637,253.418,-1000.000,0.000
1741724766.459,-937.012,945.312,361.328,-923.828,0.000
1741724766.463,429.199,995.605,506.348,437.012,0.000
1741724766.467,999.512,924.316,502.930,999.512,0.000
1741724766.470,902.832,983.887,535.156,904.785,0.000
1741724766.474,979.004,970.703,795.410,979.004,0.000
1741724766.478,969.727,970.215,964.844,970.215,0.000
1741724766.482,969.727,970.703,999.512,970.215,0.000
