timestamps,PPG1,PPG2,PPG3,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1741750496.074,31794.000,25186.000,30.000,93915.156,0.003
1741750496.074,31909.000,25183.000,46.000,93915.156,0.003
1741750496.074,31864.000,25151.000,38.000,93915.156,0.003
1741750496.074,31900.000,25214.000,33.000,93915.156,0.003
1741750496.074,31904.000,25146.000,22.000,93915.156,0.003
1741750496.164,31910.000,25161.000,36.000,93915.250,-0.001
1741750496.164,31907.000,25161.000,28.000,93915.250,-0.001
1741750496.164,31900.000,25149.000,26.000,93915.250,-0.001
1741750496.164,31944.000,25126.000,34.000,93915.250,-0.001
1741750496.164,31906.000,25162.000,65.000,93915.250,-0.001
1741750496.164,31973.000,25165.000,32.000,93915.250,-0.001
1741750496.268,31928.000,25180.000,36.000,93915.352,0.002
1741750496.268,31901.000,25154.000,92.000,93915.352,0.002
1741750496.268,31910.000,25144.000,45.000,93915.352,0.002
1741750496.268,31908.000,25160.000,49.000,93915.352,0.002
1741750496.268,31867.000,25156.000,56.000,93915.352,0.002
1741750496.268,31879.000,25195.000,41.000,93915.352,0.002
1741750496.358,31923.000,25134.000,45.000,93915.445,-0.002
1741750496.358,31840.000,25150.000,36.000,93915.445,-0.002
1741750496.358,31902.000,25183.000,32.000,93915.445,-0.002
1741750496.358,31908.000,25152.000,33.000,93915.445,-0.002
1741750496.358,31934.000,25176.000,30.000,93915.445,-0.002
1741750496.358,31899.000,25179.000,35.000,93915.445,-0.002
1741750496.449,31971.000,25148.000,34.000,93915.531,0.003
1741750496.449,31904.000,25127.000,27.000,93915.531,0.003
1741750496.449,31908.000,25155.000,57.000,93915.531,0.003
1741750496.449,31868.000,25149.000,32.000,93915.531,0.003
1741750496.449,31907.000,25103.000,42.000,93915.531,0.003
1741750496.449,31853.000,25156.000,58.000,93915.531,0.003
1741750496.539,31911.000,25139.000,50.000,93915.625,-0.001
1741750496.539,31908.000,25152.000,101.000,93915.625,-0.001
1741750496.539,31808.000,25156.000,35.000,93915.625,-0.001
1741750496.539,31908.000,25169.000,35.000,93915.625,-0.001
1741750496.539,31906.000,25149.000,58.000,93915.625,-0.001
1741750496.539,31831.000,25191.000,34.000,93915.625,-0.001
1741750496.629,31907.000,25155.000,28.000,93915.711,0.004
1741750496.629,31916.000,25156.000,30.000,93915.711,0.004
1741750496.629,31907.000,25167.000,32.000,93915.711,0.004
1741750496.629,31931.000,25152.000,29.000,93915.711,0.004
1741750496.629,31969.000,25139.000,33.000,93915.711,0.004
1741750496.629,31908.000,25073.000,36.000,93915.711,0.004
1741750496.734,31913.000,25152.000,35.000,93915.820,-0.001
1741750496.734,31904.000,25123.000,45.000,93915.820,-0.001
1741750496.734,31906.000,25150.000,88.000,93915.820,-0.001
1741750496.734,31900.000,25158.000,32.000,93915.820,-0.001
1741750496.734,31906.000,25148.000,29.000,93915.820,-0.001
1741750496.734,31903.000,25149.000,100.000,93915.820,-0.001
1741750496.823,31856.000,25167.000,47.000,93915.906,0.002
1741750496.823,31911.000,25190.000,45.000,93915.906,0.002
1741750496.823,31884.000,25157.000,46.000,93915.906,0.002
1741750496.823,31910.000,25182.000,41.000,93915.906,0.002
1741750496.823,31903.000,25155.000,28.000,93915.906,0.002
1741750496.823,31940.000,25152.000,33.000,93915.906,0.002
1741750496.913,31920.000,25133.000,28.000,93916.000,-0.001
1741750496.913,31930.000,25155.000,31.000,93916.000,-0.001
1741750496.913,31935.000,25134.000,26.000,93916.000,-0.001
1741750496.913,31912.000,25159.000,57.000,93916.000,-0.001
1741750496.913,31971.000,25152.000,34.000,93916.000,-0.001
1741750496.913,31910.000,25127.000,34.000,93916.000,-0.001
1741750497.019,31904.000,25164.000,34.000,93916.102,0.003
1741750497.019,31911.000,25141.000,48.000,93916.102,0.003
1741750497.019,31912.000,25160.000,80.000,93916.102,0.003
1741750497.019,31853.000,25162.000,46.000,93916.102,0.003
1741750497.019,31908.000,25214.000,46.000,93916.102,0.003
1741750497.019,31909.000,25153.000,71.000,93916.102,0.003
1741750497.108,31900.000,25191.000,31.000,93916.195,-0.002
1741750497.108,31907.000,25194.000,24.000,93916.195,-0.002
1741750497.108,31934.000,25154.000,31.000,93916.195,-0.002
1741750497.108,31875.000,25165.000,30.000,93916.195,-0.002
1741750497.108,31913.000,25157.000,29.000,93916.195,-0.002
1741750497.108,31976.000,25156.000,32.000,93916.195,-0.002
1741750497.199,31926.000,25162.000,58.000,93916.281,0.003
1741750497.199,31928.000,25155.000,61.000,93916.281,0.003
1741750497.199,31968.000,25143.000,44.000,93916.281,0.003
1741750497.199,31915.000,25100.000,42.000,93916.281,0.003
1741750497.199,31878.000,25154.000,65.000,93916.281,0.003
1741750497.199,31918.000,25140.000,35.000,93916.281,0.003
1741750497.288,31907.000,25146.000,27.000,93916.375,-0.001
1741750497.288,31809.000,25174.000,35.000,93916.375,-0.001
1741750497.288,31904.000,25194.000,50.000,93916.375,-0.001
1741750497.288,31894.000,25162.000,29.000,93916.375,-0.001
1741750497.288,31847.000,25186.000,28.000,93916.375,-0.001
1741750497.288,31885.000,25150.000,25.000,93916.375,-0.001
1741750497.393,31935.000,25157.000,36.000,93916.477,0.002
1741750497.393,31899.000,25187.000,25.000,93916.477,0.002
1741750497.393,31914.000,25181.000,22.000,93916.477,0.002
1741750497.393,31933.000,25128.000,29.000,93916.477,0.002
1741750497.393,31903.000,25142.000,30.000,93916.477,0.002
1741750497.393,31945.000,25154.000,78.000,93916.477,0.002
1741750497.484,31887.000,25132.000,32.000,93916.570,-0.001
1741750497.484,31898.000,25161.000,77.000,93916.570,-0.001
1741750497.484,31907.000,25147.000,32.000,93916.570,-0.001
1741750497.484,31921.000,25164.000,28.000,93916.570,-0.001
1741750497.484,31902.000,25153.000,77.000,93916.570,-0.001
1741750497.484,31821.000,25215.000,27.000,93916.570,-0.001
1741750497.573,31891.000,25148.000,44.000,93916.656,0.002
1741750497.573,31853.000,25147.000,34.000,93916.656,0.002
