timestamps,X,Y,Z
1741743553.664,0.335,0.144,-0.942
1741743553.664,0.332,0.146,-0.941
1741743553.725,0.331,0.149,-0.938
1741743553.725,0.333,0.147,-0.938
1741743553.725,0.334,0.144,-0.939
1741743553.790,0.331,0.146,-0.941
1741743553.790,0.334,0.147,-0.937
1741743553.790,0.334,0.146,-0.937
1741743553.831,0.333,0.144,-0.946
1741743553.831,0.333,0.147,-0.940
1741743553.831,0.333,0.145,-0.943
1741743553.890,0.328,0.146,-0.944
1741743553.890,0.329,0.148,-0.941
1741743553.890,0.331,0.149,-0.941
1741743553.950,0.331,0.145,-0.940
1741743553.950,0.333,0.141,-0.943
1741743553.950,0.329,0.146,-0.941
1741743553.994,0.330,0.145,-0.943
1741743553.994,0.332,0.146,-0.941
1741743553.994,0.332,0.143,-0.938
1741743554.059,0.327,0.145,-0.941
1741743554.059,0.332,0.148,-0.946
1741743554.059,0.334,0.146,-0.940
1741743554.114,0.335,0.143,-0.941
1741743554.114,0.330,0.147,-0.939
1741743554.114,0.330,0.141,-0.942
1741743554.175,0.336,0.145,-0.938
1741743554.175,0.333,0.148,-0.939
1741743554.175,0.330,0.145,-0.940
1741743554.219,0.332,0.148,-0.941
1741743554.219,0.333,0.145,-0.939
1741743554.219,0.332,0.147,-0.940
1741743554.279,0.336,0.147,-0.939
1741743554.279,0.332,0.145,-0.944
1741743554.279,0.331,0.147,-0.945
1741743554.342,0.331,0.144,-0.941
1741743554.342,0.335,0.147,-0.941
1741743554.342,0.334,0.146,-0.942
1741743554.399,0.335,0.145,-0.939
1741743554.399,0.331,0.144,-0.940
1741743554.399,0.331,0.145,-0.940
1741743554.459,0.332,0.146,-0.940
1741743554.459,0.330,0.145,-0.943
1741743554.459,0.332,0.146,-0.940
1741743554.504,0.328,0.146,-0.939
1741743554.504,0.336,0.148,-0.940
1741743554.504,0.333,0.148,-0.940
1741743554.565,0.335,0.146,-0.939
1741743554.565,0.335,0.148,-0.941
1741743554.565,0.331,0.146,-0.942
1741743554.627,0.331,0.149,-0.940
1741743554.627,0.330,0.150,-0.942
1741743554.627,0.333,0.149,-0.941
1741743554.672,0.334,0.147,-0.939
1741743554.672,0.329,0.151,-0.939
1741743554.672,0.335,0.149,-0.944
1741743554.729,0.333,0.150,-0.943
1741743554.729,0.331,0.150,-0.942
1741743554.729,0.331,0.148,-0.944
1741743554.789,0.335,0.147,-0.938
1741743554.789,0.333,0.148,-0.939
1741743554.789,0.332,0.144,-0.940
1741743554.849,0.335,0.147,-0.936
1741743554.849,0.330,0.144,-0.943
